Date,Close/Last,Volume,Open,High,Low,count,normalized,symbol
2023-03-01,$145.31,55478990,$146.83,$147.2285,$145.01,21.0,0.4623,AAPL.US
2023-03-02,$145.91,52279760,$144.38,$146.71,$143.90,23.0,0.3912,AAPL.US
2023-03-03,$151.03,70732300,$148.045,$151.11,$147.33,34.0,0.3126,AAPL.US
2023-03-06,$153.83,87558030,$153.785,$156.30,$153.46,42.0,0.5418,AAPL.US
2023-03-07,$151.60,56182030,$153.70,$154.0299,$151.13,16.0,0.6801,AAPL.US
2023-03-08,$152.87,47204790,$152.81,$153.47,$151.83,17.0,0.3088,AAPL.US
2023-03-09,$150.59,53833580,$153.559,$154.535,$150.225,22.0,0.4629,AAPL.US
2023-03-10,$148.50,68572400,$150.21,$150.94,$147.6096,20.0,0.1717,AAPL.US
2023-03-13,$150.47,84457120,$147.805,$153.14,$147.70,22.0,0.5145,AAPL.US
2023-03-14,$152.59,73695890,$151.28,$153.40,$150.10,15.0,0.4771,AAPL.US
2023-03-15,$152.99,77167870,$151.19,$153.245,$149.92,22.0,0.1191,AAPL.US
2023-03-16,$155.85,76254420,$152.16,$156.46,$151.64,27.0,0.6977,AAPL.US
2023-03-17,$155.00,98944630,$156.08,$156.74,$154.28,16.0,0.6039,AAPL.US
2023-03-20,$157.40,73641420,$155.07,$157.82,$154.15,4.0,0.7848,AAPL.US
2023-03-21,$159.28,73938290,$157.32,$159.40,$156.54,15.0,0.5392,AAPL.US
2023-03-22,$157.83,75701810,$159.30,$162.14,$157.81,15.0,0.4902,AAPL.US
2023-03-23,$158.93,67622060,$158.83,$161.5501,$157.68,37.0,0.417,AAPL.US
2023-03-24,$160.25,59256340,$158.86,$160.34,$157.85,20.0,0.6915,AAPL.US
2023-03-27,$158.28,52390270,$159.94,$160.77,$157.87,13.0,0.6962,AAPL.US
2023-03-28,$157.65,45992150,$157.97,$158.49,$155.98,21.0,0.5573,AAPL.US
2023-03-29,$160.77,51305690,$159.37,$161.05,$159.35,25.0,0.5034,AAPL.US
2023-03-30,$162.36,49501690,$161.53,$162.47,$161.271,25.0,0.4728,AAPL.US
2023-03-31,$164.90,68749790,$162.44,$165.00,$161.91,19.0,0.5921,AAPL.US
2023-04-03,$166.17,56976190,$164.27,$166.29,$164.22,21.0,0.3954,AAPL.US
2023-04-04,$165.63,46278300,$166.595,$166.84,$165.11,20.0,0.5688,AAPL.US
2023-04-05,$163.76,51511740,$164.74,$165.05,$161.80,32.0,0.4039,AAPL.US
